"","","s0"
"207",11365,10.2800000716269
"208",19891,-0.0520822666758058
"209",22370,0.0972166728086042
"210",19452,10.3874938658325
"211",19107,-0.155515753337386
"212",5939,-0.0822577430206903
"213",17176,0.338232971272948
"214",18796,-0.240548717787085
"215",15342,-0.391886906654057
"216",13956,10.4441683094989
"217",27979,0.0571306644178004
"218",44855,-0.00327569687318747
"219",28066,-0.0735567229173082
"220",27931,0.112152732026436
"221",21273,0.0583165598369243
"222",22655,-0.00446444455899947
"223",19278,-0.0497207286755428
"224",20649,0.0124006976535195
"225",17699,0.079140373420451
"226",13987,-0.0845273941847066
"227",22395,0.0434051374904739
"228",20483,-0.131795605928011
"229",20444,0.00914372836572173
"230",1089,-0.356134686587266
"231",23026,0.0496192248155905
"232",20559,-0.211143585735477
"233",11881,-0.272618083216862
"234",3013,14.6421970819247
"235",19344,-0.308130225953309
"236",21243,-0.166114168333877
"237",19556,-0.107721120034597
"238",20536,0.0165853631437361
"239",20089,0.196698160423879
"240",22062,0.0212607355441913
"241",15465,-0.031345973990289
"242",4764,10.9717157566453
"243",14863,23.855492357309
"244",12777,4.53439487028844
"245",23927,-0.213879742135311
"246",24541,0.069165337914374
"247",24114,4.12490693535865
"248",25254,-0.0608915603379545
"249",23860,-0.0156457545305109
"250",23972,-0.0142915242817223
"251",24390,0.03146842186349
"252",24326,-0.137424827474949
"253",26602,0.114343391414798
"254",26669,-0.0299646755415124
"255",27211,-0.0359281169137566
"256",25967,0.0185101212758223
"257",27100,0.0165146793409623
"258",26422,-0.0899621187892115
"259",25669,-0.087020380626942
"260",26374,-0.104491692392353
"261",17880,11.7502660622669
"262",5204,-0.0191902737473428
"263",22830,11.6881615194394
"264",3109,3.46668404948592
"265",14565,-0.153301951454638
"266",926,0.0361712996908306
"267",4492,10.0308983248752
"268",17340,0.0203614088660369
"269",22270,-0.176593070302046
"270",17029,-0.272662460932167
"271",19517,-0.176127152312802
"272",21018,-0.114366842208537
"273",10402,0.0287477227410623
"274",30176,0.00541812243211745
"275",56433,0.101059013758692
"276",29626,-0.0626694459554802
"277",29669,-0.0571372882301671
"278",29151,-0.0401331569699133
"279",32091,0.018651575695841
"280",29811,0.063145402176083
"281",30289,-0.0992332677717773
"282",23963,4.60403291319127
"283",7823,4.39489004738843
"284",24273,-0.102567714704505
"285",32119,0.139427927908929
"286",28354,-0.102129160201684
"287",28791,4.59352845800463
"288",28361,-0.107620571386825
"289",28652,0.0521166449444385
"290",28533,-0.204422369252973
"291",23522,-0.24839239956197
"292",20286,-0.124112769727543
"293",19460,-0.193086494478014
"294",26893,0.0185101212758223
"295",26226,4.54612559200261
"296",25933,-0.0460510790647245
"297",25861,-0.186621356606241
"298",26191,10.0156953054098
"299",27193,0.200561439538934
"300",27923,21.080091205165
"301",22025,0.0054522158397116
"302",7535,-0.615160747053027
"303",20622,11.2272684249427
"304",16085,-0.0954733853352162
"305",23526,-0.056098068247136
"306",20985,0.094009405108462
"307",24566,-0.0380027265067372
"308",21074,-0.062680894262364
"309",21406,0.181342875389986
"310",21842,0.130008716513732
"311",5621,-0.320137426901766
"312",23096,-0.367699114734574
"313",20475,0.116949529428762
"314",7045,0.0330364427006032
"315",22384,0.0993759005387896
"316",22451,0.0779718122297768
"317",1374,-0.676773913619682
"318",2470,-0.470182588070211
"319",21788,-0.0299079146288506
"320",20577,-0.114225801968904
"321",22640,0.0974426100709962
"322",23251,-0.0635194169212498
"323",7164,-0.713477846760471
"324",6012,-0.246538035612401
"325",21628,-0.0284922288501549
"326",22789,-0.0251085279777987
"327",20797,-0.0163139316718125
"328",13378,-0.169307780784809
"329",1410,12.4992617928518
"330",14257,0.0266962970136739
"331",22688,-0.0870585678141326
"332",24588,0.159863186126361
"333",16745,-0.251254929564146
"334",18252,0.167541502928069
"335",6711,18.8578164939477
"336",18689,0.00962493515396174
"337",24892,-0.122696576261369
"338",24288,-0.179047544763436
"339",24239,-0.0409941293515079
"340",11459,-0.0864065114967775
"341",21403,-0.0830140173200315
"342",6579,9.3957617632276
"343",21362,-0.209996977257312
"344",21022,-0.285982644733666
"345",7207,9.88508877693086
"346",25172,9.94400794226668
"347",16160,9.29692493253775
"348",20289,-0.0618939119832992
"349",21678,3.41693623886426
"350",18779,0.00962493515396174
"351",18913,18.540731660378
"352",20702,0.0637855435220467
"353",12145,11.929855843719
"354",16626,0.304675522489807
"355",19902,0.0752247534776561
"356",23418,-0.0714806946767298
"357",16521,-0.20361628285849
"358",24263,-0.0630777453371091
"359",16419,-0.23429044784744
"360",60684,0.0186042315338259
"361",44883,-0.0281537738229809
"362",32172,-0.00491898257401872
"363",31961,-0.0133823411875025
"364",14787,0.130023853239564
"365",27934,3.62402425410663
"366",18004,0.365935157852176
"367",5259,10.7036146180218
"368",25224,-0.0198064511122851
"369",5192,-0.349899573823417
"370",27291,10.4565858820908
"371",9764,4.48333950652721
"372",20054,0.223613501599846
"373",23694,-0.0913625857573721
"374",4407,17.011805891247
"375",13628,0.0901499491492903
"376",24350,-0.017738686979279
"377",12253,-0.0029228008315293
"378",23167,0.203771638780602
"379",23117,-0.0572052033907707
"380",10150,-0.0557848461409566
"381",22828,-0.0301683966600378
"382",8673,0.386537857389804
"383",24249,-0.113811341216938
"384",18417,4.69566171240685
"385",21584,-0.00896083434485061
"386",24313,-0.0652856636445105
"387",18026,0.14454833469446
"388",7063,-0.110527478664477
"389",21736,0.0883952497175538
"390",26842,0.0296539932392487
"391",14893,-0.0831538715727485
"392",23627,0.25584668089179
"393",9265,-0.323059571399954
"394",20074,-0.187702990457228
"395",15951,0.116871137911527
"396",20430,0.0538654126339696
"397",22378,-0.097242093806735
"398",10050,15.6347683519708
"399",6848,-0.0572238565536175
"400",11000,-0.282885534966591
"401",21992,-0.147811231517916
"402",6844,-0.876446417330474
"403",20681,-0.129565326610978
"404",26813,0.955829923261851
"405",21379,-0.26097955260538
"406",14713,4.72462165908835
"407",14189,-0.00206969132681219
"408",23597,0.14317217992111
"409",6308,-0.63812191556938
